question;image;category;answerA;answerB;answerC;correct
Gisèle heeft enkel een voorlopige sportschutterslicentie in wapencategorie B:;;;hij kan het sportschieten met een pistool beoefenen onder begeleiding;hij kan het sportschieten met een revolver beoefenen onder begeleiding;hij kan het sportschieten met een pistool en met een revolver beoefenen onder begeleiding;A
Gisèle heeft een voorlopige sportschutterslicentie in wapencategorie B:;;;hij kanhetsportschieten beoefenen onder begeleiding vaneen sportschutter die houder is van een voorlopige sportschutterslicentie in wapencategorie B;hij kanhet sportschieten beoefenen onder begeleiding vaneen sportschutter die houder is van een sportschutterslicentie in wapencategorie B;hij kanhet sportschieten beoefenen onder begeleiding vaneen sportschutter die houder is van een sportschutterslicentie, ongeacht in welke wapencategorie deze geldig is;B
Eufrazie is houder van een voorlopige sportschutterslicentie geldig voor wapencategorie B:;;AANDACHT;in haar sportschuttersboekje kan ze schietbeurten laten noteren die plaatsvonden met een pistool;in haar sportschuttersboekje kan ze schietbeurten laten noteren die plaatsvonden met een revolver;ze kan als houder van een voorlopige sportschutterslicentie geen schietbeurten laten noteren;A
Philomène is houder van een voorlopige sportschutterslicentie geldig voor wapencategorie A:;;;in zijn sportschuttersboekje kan hij schietbeurten laten noteren die plaatsvonden met een pistool;in zijn sportschuttersboekje kan hij schietbeurten laten noteren die plaatsvonden met een revolver;in zijn sportschuttersboekje kan hij alle schietbeurten noteren, de wapencategorie speelt geen rol;B
De houder van een voorlopige sportschutterslicentie:;;;kan enkel met de wapens schieten waarvoor hij zelf een wapenvergunning heeft;kan met alle vergunningsplichtige wapens schieten die hem op de schietstand ter beschikking worden gesteld, mits de voorlopige sportschutterslicentie geldig is voor de wapencategorie en onder begeleiding;kan met alle vergunningsplichtige wapens schieten onder begeleiding, ongeacht de wapencategorie van deze wapens;B
De begeleider van de houder van een voorlopige sportschutterslicentie:;;;moet gedurende meer dan één jaar actief het sportschieten hebben beoefend;moet gedurende meer dan twee jaren actief het sportschieten hebben beoefend;moet gedurende meer dan drie jaren actief het sportschieten hebben beoefend;B
Een geldige schietbeurt kan plaatsvinden:;;AANDACHT;enkel tijdens een wedstrijd georganiseerd door een Vlaamse club;tijdens elke activiteit georganiseerd door een club aangesloten bij een Vlaamse sportschuttersfederatie;tijdens een internationale wedstrijd waarbij geen Vlaamse federatie bij betrokken is;B
In het sportschuttersboekje:;;;moet voor elke schietbeurt de sportschutter zelf zijn handtekening plaatsen;moet voor elke schietbeurt een bestuurslid of een aangestelde een handtekening plaatsen;moet geen handtekening geplaatst worden voor elke schietbeurt;B
Bij verlies van de voorlopige sportschutterslicentie:;;;Stuurt de schietsportfederatie spontaan een nieuwe voorlopige sportschutterslicentie op;moet een duplicaat worden aangevraagd bij de schietsportfederatie;moet een duplicaat worden aangevraagd bij de provinciegouverneur;B
Bij de aanvraag van een voorlopige sportschutterslicentie, is het de taak van de lokale politie:;;;om een moraliteitsonderzoek te doen en na te gaan of het wapenbezit een gevaar voor de openbare orde kan betekenen en de conclusie van dit onderzoek te delen met de federatie;enkel de federale politie kan het moraliteitsonderzoek verrichten;De lokale politie is niet de bij de aanvraag van een voorlopige  sportschutterslicentie en verstrekt aan geen enkele instantie een advies;C
Gerard is houder van een sportschutterslicentie geldig voor wapencategorie B:;;AANDACHT;in zijn sportschuttersboekje kan hij schietbeurten laten noteren die plaatsvonden met een pistool;in zijn sportschuttersboekje kan hij schietbeurten laten noteren die plaatsvonden met een revolver;in zijn sportschuttersboekje kan hij alle schietbeurten noteren, de wapencategorie speelt geen rol;A
Schuttersvereniging “de tunnelschutters” organiseert een wedstrijd met een prijzentafel:;;;iedereen kan aan de wedstrijd meedoen;enkel wie een wapenvergunning heeft kan aan de wedstrijd meedoen;wie houder is van een sportschutterslicentie of een voorlopige sportschutterslicentie kan aan de wedstrijd meedoen;C
Bij de aanvraag van een sportschutterslicentie:;;AANDACHT;moet steeds een medisch attest worden toegevoegd dat niet ouder is dan 3 maanden;moet steeds een medisch attest worden toegevoegd dat niet ouder is dan 6 maanden;moet geen medisch attest worden toegevoegd als men houder is van een wapenvergunning, in eerder welke categorie.;A
Bij de aanvraag van een sportschutterslicentie:;;;moeten attesten van slagen van de praktische en theoretische proeven worden voorgelegd, tenzij er vrijstelling is.;moet enkel attest van slagen van de theoretische proef worden voorgelegd, tenzij er vrijstelling is;moeten nooit attesten van slagen voor de praktische en theoretische proef worden voorgelegd;A
Bij de aanvraag van een sportschutterslicentie:;;AANDACHT;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 1 maand.;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 3 maanden.;moet een uittreksel strafregister worden voorgelegd dat niet ouder is dan 6 maanden.;B
Bij de aanvraag van een sportschutterslicentie:;;AANDACHT;moet geen medisch attest worden toegevoegd;moet een medisch attest worden toegevoegd dat niet ouder is dan 1 maand;moet een medisch attest worden toegevoegd dat niet ouder dan 3 maanden;C
Bij de aanvraag van een sportschutterslicentie:;;AANDACHT;moet een kopie van de identiteitskaart worden gevoegd samen met een pasfoto;moet een kopie van een uittreksel uit het strafregister worden toegevoegd;moet geen pasfoto worden toegevoegd;A
Bij de aanvraag van een sportschutterslicentie geldt:;;;dat altijd een attest van slagen voor de praktische en theoretische proef moet worden toegevoegd;dat geen attest van slagen voor de theoretische proef moet worden toegevoegd en dat geen attest van slagen voor de praktische proef moet worden toegevoegd als eenkopievan een wapenvergunning is toegevoegd, voor zover het wapen waarop de wapenvergunning betrekking heeft overeenstemt met de wapencategorie waarvoor de sportschutterslicentie wordt aangevraagd;dat geen attest van slagen voor de theoretische proef moet worden toegevoegd en dat geen attest van slagen voor de praktische proef moet worden toegevoegd als een kopie van een wapenvergunning is toegevoegd;B
Bij de aanvraag van een sportschutterslicentie:;;;moet steeds een kopie van het sportschuttersboekje worden toevoegd waaruit blijkt dat de aanvrager aan minstens 12 schietbeurten heeft deelgenomen gespreid over minstens 12 dagen en 2 trimesters.;moet enkel een kopie van het sportschuttersboekje worden toegevoegd als men nog geen houder is van een wapenvergunning.;moet een kopie van het sportschuttersboekje worden toegevoegd waaruit blijkt dat de aanvrager aan minstens 6 schietbeurten heeft deelgenomen gespreid over minstens 6 dagen en 2 trimesters;A
Bij de aanvraag van een sportschutterslicentie:;;AANDACHT;moet de aanvrager reeds gedurende minstens 6 maanden lid zijn van een club die is aangesloten bij een gemachtigde schietsportfederatie;moet de aanvrager reeds gedurende minstens 2 jaar lid zijn van een club die is aangesloten bij een gemachtigde schietsportfederatie;is geen minimum duur van het lidmaatschap vereist;A
De minimumleeftijd voor het aanvragen van een Vlaamse sportschutterslicentie is:;;AANDACHT;14 jaar;16 jaar;18 jaar;B
Een sportschutterslicentie kan geldig zijn:;;;voor maximum één wapencategorie;voor alle wapencategorieën;enkel voor de wapencategorieën waarvoor de sportschutter ook een vergunning heeft;B
Als de sportschutter nalaat om tijdig de geldigverklaring van de sportschutterslicentie te vragen:;;AANDACHT;wordt hij in gebreke gesteld door de schietsportfederatie die hem nog een maand extra geeft om het nodige te doen.;moet de schietsportfederatie de procedure tot intrekking van de sportschutterslicentie starten;moet de situatie bij de lokale politie geregulariseerd worden;B
Bij de aanvraag van een sportschutterslicentie:;;;zal de lokale politie een moraliteitsadvies verstrekken aan de federatie. De federatie kan de sportschutterslicentie niet afgeven als daar negatieve elementen in opgenomen zijn;komt de lokale politie niet tussen;moet de federatie altijd advies inwinnen bij de provinciegouverneur bevoegd voor de verblijfplaats van de aanvrager;B
Welke proeven moet men afleggen om na 5 jaar een sportschutterslicentie te hernieuwen:;;AANDACHT;een theoretische en praktische proef.;alleen een theoretische proef bij substantiële wijziging van de regelgeving.;geen enkele.;B
Wat moet de houder van een voorlopige sportschutterslicentie doen om een sportschutterslicentie te verkrijgen:;;AANDACHT;een aanvraag indienen bij de lokale politie;een theoretische en praktische proef afleggen (tenzij vrijstelling ervan) en een vraag indienen bij een gemachtigde schietsportfederatie via de club. Hij moet eveneens kunnen bewijzen aan minstens 12 schietbeurten te hebben deelgenomen, gespreid over minstens 12 dagen en 2 trimesters;een aanvraag doen bij de gouverneur, dan zijn zes schietbeurten voldoende.;B
De houder van een voorlopige sportschutterslicentie die op 1 januari voor het eerst lid werd bij een schuttersvereniging:;;;kan zijn sportschutterslicentie ten vroegste aanvragen vanaf april mits hij 12 schietbeurten heeft gespreid over minstens 2 trimesters;kan zijn sportschutterslicentie ten vroegste aanvragen vanaf juli mits hij 12 schietbeurten heeft gespreid over minstens 2 trimester;dient te wachten tot het volgende kalenderjaar alvorens hij zijn sportschutterslicentie kan aanvragen;B
Op basis van het sportschuttersdecreet dient de houder van een sportschutterslicentie :;;;de wapens en munitie op te slaan in een wapenkluis;de wapens en munitie gescheiden te bewaren in een afgesloten kast of in een afgesloten ruimte;de wapens uit te rusten met een trekkerslot en de munitie afzonderlijk te bewaren;B
Een sportschutterslicentie kan worden ingetrokken:;;;door de lokale politie;door de gouverneur;door de gemachtigde schietsportfederatie;C
Tegen de intrekking van de sportschutterslicentie uitgereikt door een schietsportfederatie, is een administratief beroep mogelijk bij:;;;de Vlaamse minister bevoegd voor sport (via Sport Vlaanderen);de minister van Justitie;de provinciegouverneur;A
Hoeveel schietbeurten moeten er in het sportschuttersboekje minstens vermeld zijn om de sportschutterslicentie jaarlijks te verlengen:;;AANDACHT;6;9;12;C
Het aantal schietbeurten dat noodzakelijk is om de licentie jaarlijks te verlengen, dient gespreid te zijn over:;;AANDACHT;over minstens 2 maanden;over minstens 2 trimesters;over minstens 2 semesters;B
Een sportschutter mag, om zijn schietbeurten te laten registreren, in het bezit zijn van maximaal:;;;één sportschuttersboekje;één sportschuttersboekje per federatie waarbij hij lid is;zoveel sportschuttersboekjes als hij wil;A
Een schietbeurt dient geregistreerd te worden in het sportschuttersboekje:;;AANDACHT;door de sportschutter zelf;door een agent of hulpagent van de lokale of de federale politie;door de verantwoordelijke van de club of van de schietsportfederatie of hun aangestelde;C
Welke documenten moeten voorgelegd worden voor de jaarlijkse verlenging van de sportschutterslicentie:;;AANDACHT;medisch attest en uittreksel strafregister.;het sportschuttersboekje en uittreksel strafregister.;bewijs van slagen in de theoretische en de praktische proef.;B
Mits jaarlijkse geldigverklaring, blijft een sportschutterslicentie geldig voor:;;AANDACHT;1 jaar;3 jaar;5 jaar;C
Bij verlies van de sportschutterslicentie:;;;stuurt de schietsportfederatie spontaan een nieuwe sportschutterslicentie op;moet met een bewijs van verlies een duplicaat worden aangevraagd bij de schietsportfederatie;moet een duplicaat worden aangevraagd bij de provinciegouverneur;B
Bij adreswijziging:;;AANDACHT;wordt de federatie ingelicht door het rijksregister en stuurt ze automatisch een aangepaste sportschutterslicentie op;moet de sportschutter zelf het adres op zijn sportschutterslicentie wijzigen en de federatie inlichten;moet de adreswijziging doorgegeven worden aan de federatie welke een adressticker bezorgd die over het oude adres op de huidige licentie gekleefd wordt.;C
De jaarlijkse geldigverklaring van de sportschutterslicentie:;;AANDACHT;wordt via de club aan de federatie gericht;wordt door de sportschutter zelf rechtstreeks aan de federatie gericht;wordt door de sportschutter zelf rechtstreeks aan de gouverneur gericht;B
De jaarlijkse geldigverklaring van de sportschutterslicentie wordt aangevraagd:;;AANDACHT;tijdens de eerste twee maanden van een kalenderjaar;ten vroegste twee maand en ten laatste een maand voor de verjaardag van de sportschutterslicentie;zodra men 12 schietbeurten heeft gespreid over minstens 2 trimesters;B
De enige verantwoordelijke voor de tijdige aanvraag van de verlenging van de sportschutterslicentie is:;;AANDACHT;de clubverantwoordelijke;de sportschutter zelf;de federatie;B
Schietbeurten afgetekend door verantwoordelijken van een buitenlandse federatie of door verantwoordelijken van een Waalse of Duitstalige federatie:;;AANDACHT;zijn ongeldig;zijn enkel geldig als de schietbeurt in Vlaanderen plaatsvond;zijn steeds geldig;A
De houder van een sportschutterslicentie:;;;kan enkel met de wapens schieten waarvoor hij zelf een wapenvergunning heeft;kan met alle vergunningsplichtige wapens schieten die hem op de schietstand ter beschikking worden gesteld, mits de sportschutterslicentie geldig is voor de wapencategorie;kan met alle vergunningsplichtige wapens schieten onder begeleiding, ongeacht de wapencategorie van deze wapens;B
De houder van een sportschutterslicentie:;;;kan enkel met de wapens schieten waarvoor hij zelf een wapenvergunning heeft;kan enkel met vergunningsplichtige wapens schieten onder begeleiding;kan met alle vergunningsplichtige wapens schieten die hem op de schietstand ter beschikking worden gesteld, mits de sportschutterslicentie geldig is voor de wapencategorie;C
Mèdard is houder van een wapenvergunning voor een pistool. Hij vraagt een sportschutterslicentie aan in wapencategorie B. Bij zijn aanvraag:;;AANDACHT;moet hij een kopie van zijn wapenvergunning toevoegen. Hij is dan vrijgesteld van de theoretische en praktische proef;moet enkel een attest van slagen voor de theoretische proef worden gevoegd;moet een attest van slagen voor de praktische en theoretische proef worden gevoegd;A
Behoudens het geval van intrekking van het recht om wapens voorhanden te hebben door de gouverneur, geldt dat de houder van een sportschutterslicentie die niet meer geldig is:;;AANDACHT;zijn wapens binnen de acht dagen moet overdragen aan een erkend persoon of aan de houder van een vergunning tot het voorhanden hebben van de wapens;zijn wapens gedurende drie jaar voorhanden mag hebben zonder munitie;zijn wapens nog gedurende drie jaar voorhanden mag hebben met munitie;B
Indien de sportschutterslicentie wordt verleend:;;;heeft dit geen enkele invloed op het resultaat van een moraliteitsonderzoek indien later een wapenvergunning wordt aangevraagd bij de gouverneur;kan de gouverneur een latere vergunningsaanvraag om een wapen voorhanden te houden niet meer weigeren;is het nooit meer nodig nog een vergunning aan te vragen bij de gouverneur vermits alle wapens die tot een wapencategorie behoren waarvoor de sportschutterslicentie geldig is zonder vergunning kunnen worden verworven;A
Sportschutters kunnen sommige vergunningsplichtige wapens voorhanden hebben zonder vooraf een vergunning aan te vragen aan de gouverneur:;;;op basis van een model 9;op basis van een model 4;op basis van hun sportschutterslicentie;A
Behoudens het geval van intrekking van het recht om wapens voorhanden te hebben door de gouverneur, geldt dat de houder van een sportschutterslicentie die niet meer geldig is:;;AANDACHT;de munitie voor de wapens die via zijn sportschutterslicentie geregistreerd waren binnen de drie maanden moet overdragen aan een persoon die deze munitie voorhanden mag hebben;zijn wapens gedurende drie jaar voorhanden mag houden met munitie;zijn wapens onmiddellijk moet afgeven ter vernietiging;A
Om na te gaan of een sportschutter voldoende schietbeurten heeft:;;AANDACHT;moet altijd geteld worden vanaf de verjaardag van de sportschutterslicentie;moet geteld worden vanaf de dag van ontvangst van het valideringsvignet;moet geteld worden vanaf de dag dat de geldigverklaring wordt aangevraagd;A
Bij de beoordeling van de schietbeurten:;;;komen enkel schietbeurten in aanmerking geschoten met een wapen dat behoort tot een categorie waarvoor de sportschutter een geldige (voorlopige) sportschutterslicentie heeft;komen alle schietbeurten in aanmerking;is de wapencategorie niet van belang;A
Op eenzelfde dag:;;AANDACHT;kan men meerdere geldige schietbeurten laten noteren;kan slechts één geldige schietbeurt als geldig in aanmerking worden genomen;kan men meerdere geldige schietbeurten in aanmerking nemen voor zover geschoten wordt met wapens uit een verschillende wapencategorie;B
De schietbeurten moeten gespreid zijn over minstens 2 trimesters. Voor de berekening van deze trimesters:;;AANDACHT;begint men steeds op 1 januari te tellen;begint met te tellen op 15 juni omdat het sportschuttersdecreet dan in werking trad;begint men te tellen vanaf de verjaardag van de sportschutterslicentie, dit is de dag waarop ze werd uitgereikt;C
Op eenzelfde dag:;;;kan men meerdere geldige schietbeurten laten noteren;kan slechts één schietbeurt als geldig in aanmerking worden genomen, er wordt slechts één wapencategorie in aanmerking genomen;kan men meerdere geldige schietbeurten in aanmerking nemen voor zover geschoten wordt met wapens die tot een andere wapencategorie behoren;B
Welke uitspraak is juist:;;;het is mogelijk om voor eenzelfde schietbeurt meerdere wapencategorieën te noteren in het sportschuttersboekje;voor eenzelfde schietbeurt kan slechts één wapencategorie genoteerd worden;bij de jaarlijkse geldigverklaring van de sportschutterslicentie is vereist dat men minstens aan één schietbeurt heeft deelgenomen voor elke wapencategorie waarvoor de sportschutterslicentie geldig is;B
Als het sportschuttersboekje vol is:;;;mag niet meer aan sportschieten worden gedaan;kan een nieuw sportschuttersboekje worden aangevraagd bij de federatie tegen afgifte van het oude sportschuttersboekje;zal de sportschutterslicentie in detoekomst automatisch geldig verklaard worden wegens voldoende schietbeurten;B
Bij fraude tijdens de registratie van de schietbeurten:;;AANDACHT;kan de sportschutterslicentie van de frauderende schutter worden ingetrokken;kunnen de sportschuterslicenties van iedereen die bij de fraude betrokken is worden ingetrokken;zijn enkel strafsancties mogelijk;B
De attesten van slagen voor de theoretische proef uitgereikt door de politie:;;AANDACHT;zijn niet geldig bij de aanvraag van een sportschutterslicentie;zijn geldig bij de aanvraag van de sportschutterslicentie indien ze niet ouder zijn dan drie maanden;zijn steeds geldig bij de aanvraag van een sportschutterslicentie;A
Om te slagen voor de theoretische proef:;;AANDACHT;dient de kandidaat een score van minstens 60% te behalen;dient de kandidaat een score van minstens 50% te behalen;dienst de kandidaat een score van minstens 70% te behalen;A
Tijdens het afleggen van de theoretische proef:;;AANDACHT;kan de kandidaat zich laten bijstaan door een vertrouwenspersoon die hem bijstaat om de vragen correct te beantwoorden;mag een kopie van de wetteksten worden geraadpleegd;mag de kandidaat geen enkel hulpmiddel gebruiken en mag hij zich niet laten bijstaan.;C
Wie tijdens het afleggen van de theoretische proef betrapt wordt op spieken:;;;krijgt de score nul voor de theoretische proef;krijgt de score nul voor de theoretische proef, gelet op de inbreuk zijn sancties t.a.v. de voorlopige sportschutterslicentie of de sportschutterslicentie mogelijk;krijgt enkel nog de punten voor de vragen die hij kon oplossen voor hij betrapt werd.;B
De theoretische proeven in het kader van het sportschuttersdecreet worden afgenomen:;;;door de lokale politie;door elke persoon die initiator is op een schietstand;door de erkende examinatoren van de federatie die ook de praktische proeven afnemen, of door bestuursleden van de federatie;C
De praktische proef met het oog op het bekomen van een sportschutterslicentie wordt afgenomen:;;;door examinatoren van een gemachtigde schietsportfederatie;alleen door de lokale politie onder toezicht van de diensten van de gouverneur;door de verantwoordelijke van de schietstand.;A
De volgende documenten moeten worden voorgelegd om deel te nemen aan de praktische proef:;;;een geldig rijbewijs en een geldige wapenvergunning;de lidkaart van de federatie of een verzekeringsbewijs;een geldige wapenvergunning is voldoende;B
Een enkelschotswapen:;;;is een wapen waarmee slechts één keer kan gevuurd worden, daarna is het wapen niet meer bruikbaar.;is een wapen met slechts één trekker.;een wapen waarbij één patroon per loop gekamerd kan worden die kan worden afgevuurd. Na het afvuren dient de huls te worden verwijderd, en dient een nieuwe patroon te worden geplaatst.;C
Een tweeloop is:;;AANDACHT;een repeteervuurwapen;een enkelschotswapen;een semi-automatisch wapen;B
Een repeteervuurwapen:;;AANDACHT;kan herhaaldelijk worden afgevuurd zonder dat het manueel moet worden herladen;dient na elk schot te worden herladen, er wordt niet automatisch een volgende patroon gekamerd. De volgende patroon wordt geladen uit een magazijn, lader of trommel;kan nooit gebruikt worden voor het sportschieten;B
Een pompactiegeweer:;;AANDACHT;is een repeteervuurwapen;is een enkelschotswapen;is een semi-automatisch wapen voor gangsters;A
Een semi-automatisch wapen:;;;dient na elk schot te worden herladen;is een verboden wapen;kan projectielen één per één afvuren bij elke druk op de trekker. Na het afvuren van het projectiel wordt automatisch een volgende patroon gekamerd;C
Een automatisch wapen:;;;vuurt meerdere projectielen af bij één druk op de trekker (vuren in salvo’s);is altijd voorzien van een bandvoeding;moet verplicht worden uitgerust met een waterkoeling;A
Automatische wapens:;;;kunnen voorhanden worden gehouden met een wapenvergunning;zijn verboden wapens;mogen enkel worden tentoongesteld in publieke musea;B
Een pistool in kaliber 5,7 x 28mm (kaliber P90 machinepistool):;;;is een vergunningsplichtig wapen;is een verboden wapen;is een vrij verkrijgbaar wapen;B
Lange luchtdrukwapens:;;;zijn altijd vrij verkrijgbaar;zijn enkel vrij verkrijgbaar als de kinetische energie gemeten op 2,5m van de loop monding kleiner is dan 7,5J;zijn slechts vergunningsplichtig als de kinetische energie gemeten op 2,5m van de loopmonding groter is dan 50J;A
Korte luchtdrukwapens:;;;zijn steeds vergunningsplichtig;zijn altijd vrij verkrijgbaar als ze niet automatisch of semi-automatisch zijn;zijn slechts vrij verkrijgbaar als de kinetische energie gemeten op 2,5m van de loop monding kleiner is dan 7,5J;C
Een geluidsdemper is:;;AANDACHT;verboden;toegelaten;toegelaten mits vergunning;A
Een lang luchtdrukkarabijn voorzien van een onverwijderbare geluidsdemper:;;;is altijd een verboden wapen;is een vrij verkrijgbaar wapen;is enkel een verboden wapen als de kinetische energie gemeten op 2,5m van de loopmonding groter is dan 50J;B
Een luchtdrukwapen voorzien van een laserrichtmiddel dat een straal projecteert op het doel is:;;;een verboden wapen;een vergunningsplichtig wapen;enkel toegelaten voor wie ook reeds een vergunning heeft voor een vuurwapen waarop een laser richtmiddel is gemonteerd;A
Welke zijn de vergunningsplichtige vuurwapens:;;AANDACHT;alleen de handvuurwapens;alleen de oorlogswapens;alle vuurwapens die geen verboden of vrij verkrijgbare vuurwapens zijn;C
Een visier dat een rood bolletje laat zien (reddot), maar geen straal projecteert op het doel is:;;;verboden;toegelaten;toegelaten mits vergunning;B
Een richtmiddel dat een laserstraal projecteert op een doel is:;;AANDACHT;verboden;toegelaten;toegelaten mits vergunning;A
Een nachtkijker ontworpen om op een wapen te worden geplaatst, of een vuurwapen uitgerust met een nachtkijker is:;;;verboden;toegelaten;enkel toegestaan voor de houders van een jachtverlof;A
Een alarmpistool:;;;is altijd vergunningsplichtig;is een vrij verkrijgbaar wapen;is enkel een vrij verkrijgbaar wapen als het model door de proefbank gehomologeerd is;C
Een schoudervuurwapen heeft een getrokken loop van 25cm lang. Het wapen heeft een klapkolf. Met ingeklapte kolf is de totale lengte van het wapen 50cm, met uitgeklapte kolf is de totale lengte 65 cm.Volgens de wapen wet is dit wapen:;;;een verboden wapen waarvoor nooit een vergunning kan worden voor afgegeven;een vergunningsplichtig wapen;een verboden wapen waarvoor enkel nog een vergunning kan worden afgegeven aan sportschutters die over een certificaat van de federatie beschikken;A
De ladercapaciteit van een halfautomatisch karabijn met randvuurmunitie (bijvoorbeeld .22 LR) is beperkt tot:;;;10 patronen;30 patronen;40 patronen;C
Voor niet-parcoursschutters is de ladercapaciteit van een pistool beperkt tot:;;;15 patronen;20 patronen;30 patronen;B
Ik ben houder van een vergunning voor een semi-automatisch karabijn die werd afgegeven op 5 april 2016. Ik heb het wapen verworven op 12 april 2016. Volgende uitspraak is correct:;;;ik mag enkel laders met een maximumcapaciteit van 10 patronen in bezit hebben;ik mag laders met een maximumcapaciteit van 30 patronen in bezit hebben;er geldt geen beperking van de maximumcapaciteit van de lader;B
Ik ben houder van een (wapen)vergunning voor een semi-automatisch karabijn die werd afgegeven op 25 mei 2017. Ik heb het wapen verworven op 16 juni 2017. Volgende uitspraak is correct:;;;ik mag enkel laders met een maximumcapaciteit van 10 patronen in bezit hebben;ik mag enkel laders met een maximumcapaciteit van 30 patronen in bezit hebben;er geldt geen beperking van de maximumcapaciteit van de lader;A
Een schoudervuurwapen heeft een getrokken loop van 11cm lang. Het wapen heeft een klapkolf. Met ingeklapte kolf is de totale lengte van het wapen 35cm, met uitgeklapte kolf is de totale lengte 50 cm.Volgens de wapen wet is dit wapen:;;;een vergunningsplichtig wapen;een verboden wapen dat enkel voorhanden gehouden kan worden door sportschutters met een certificat;een verboden wapen waarvoor nooit nog een vergunning kan worden afgegeven;A
Het bezit van een trekkergroep die ervoor zorgt dat een vergund semi- automatisch wapen ook automatisch kan schieten is:;;;verboden;toegelaten, het valt onder de vergunning voor het semi-automatisch wapen;een vrij verkrijgbaar onderdeel omdat het niet aan de proef is onderworpen;A
Een tweeloop “superposé” wordt:;;;voor de toepassing van de wapenwet ingedeeld als een vrij verkrijgbaar wapen en voor de toepassing vanhetsportschuttersdecreet ingedeeld in wapencategorie C;voor de toepassing van de wapenwet ingedeeld als een vrij verkrijgbaar wapen;voor de toepassing van het sportschuttersdecreet ingedeeld in wapencategorie C en voor de toepassing van de wapenwet ingedeeld als een vergunningsplichtig wapen;C
